In Tokens Total,In Tokens Avg,In Tokens P50,In Tokens P95,In Tokens Max,In Tokens Min,Out Tokens Total,Out Tokens Avg,Out Tokens P50,Out Tokens P95,Out Tokens Max,Out Tokens Min,Latency Total (s),Latency Avg (s),Latency P50 (s),Latency P95 (s),Latency Max (s),Latency Min (s),TTFT Avg (s),TTFT P50 (s),TTFT P95 (s),TTFT Max (s),TTFT Min (s),Throughput (in+out) tok/s,Throughput (out) tok/s,Throughput (in) tok/s,Model Name,FrameWork,Hardware type,TP Size,PP Size,EP Size,DP Size,Precision,Batch Size
351722,351.722,152.0,1250.2499999999998,5135,45,221270,221.27,197.5,493.0,1133,11,251.82739090919495,29.467936918497085,25.879091024398804,65.05422585010528,147.075345993042,1.6707782745361328,0.23222568893432619,0.08055150508880615,1.1703503131866455,1.2016255855560303,0.051210880279541016,2275.3362846324053,878.6573978355934,1396.6788867968119,meta-llama/Llama-3.1-8B-Instruct,vLLM,Intel XPU,1,1,1,1,bfloat16,128
332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,280.3039791584015,32.762591296672824,28.62014102935791,72.70280065536498,162.3691601753235,1.3891286849975586,0.25445720314979553,0.09145641326904297,1.2814178466796875,1.3291499614715576,0.0627288818359375,1983.2683134542565,796.2498451506921,1187.0184683035645,Qwen/Qwen3-8B,vLLM,Intel XPU,1,1,1,1,bfloat16,128
317348,317.348,110.0,1162.1499999999999,4860,13,222718,222.718,198.0,497.04999999999995,1191,11,265.93235778808594,31.124639714241027,27.293835520744324,69.35092442035673,158.11687469482422,1.505458116531372,0.24134464716911316,0.08366882801055908,1.2494430541992188,1.3341031074523926,0.05551934242248535,2030.8397386916092,837.4986852012862,1193.341053490323,mistralai/Ministral-8B-Instruct-2410,vLLM,Intel XPU,1,1,1,1,bfloat16,128
332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,411.0429382324219,47.95276255869865,42.13427996635437,106.42493103742595,237.57381463050842,2.027820587158203,0.40250754880905154,0.13596224784851074,2.0754384994506836,2.183135509490967,0.08139300346374512,1352.4572454414954,542.989501193662,809.4677442478333,Qwen/Qwen3-14B,vLLM,Intel XPU,1,1,1,1,bfloat16,128
