active_energy,total_energy,active_power_avg,active_power_peak,active_power_p50,active_power_p95,total_power_avg,total_power_peak,total_power_p50,total_power_p95,active_gpu_util_avg,active_gpu_util_peak,active_gpu_util_p50,active_gpu_util_p95,active_mem_avg,active_mem_peak,active_mem_p50,active_mem_p95,total_mem_avg,total_mem_peak,total_mem_p50,total_mem_p95,total_gpu_util_avg,total_gpu_util_peak,total_gpu_util_p50,total_gpu_util_p95,In Tokens Total,In Tokens Avg,In Tokens P50,In Tokens P95,In Tokens Max,In Tokens Min,Out Tokens Total,Out Tokens Avg,Out Tokens P50,Out Tokens P95,Out Tokens Max,Out Tokens Min,Latency Total (s),Latency Avg (s),Latency P50 (s),Latency P95 (s),Latency Max (s),Latency Min (s),TTFT Avg (s),TTFT P50 (s),TTFT P95 (s),TTFT Max (s),TTFT Min (s),Throughput (in+out) tok/s,Throughput (out) tok/s,Throughput (in) tok/s,Energy/Tok (in+out) J/1000,Energy/Tok (out) J/1000,Energy/Tok (in) J/1000,Model Name,FrameWork,Hardware type,TP Size,PP Size,EP Size,DP Size,Precision,Batch Size
65804.493,65804.493,1218.6017222222222,1368.0300000000002,1257.7075,1324.8940999999998,1218.6017222222222,1368.0300000000002,1257.7075,1324.8940999999998,16.36689814814815,18.5625,16.9375,17.665625,287395.90914351854,296253.25,296253.25,296253.25,287395.90914351854,296253.25,296253.25,296253.25,16.36689814814815,18.5625,16.9375,17.665625,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,53.45204019546509,2.9414354357719423,2.6502596139907837,6.509371566772461,14.72036099433899,0.1803576946258545,0.021956051111221314,0.01645481586456299,0.05032427310943601,0.20130562782287598,0.01323246955871582,10400.313963079832,4175.5562403946515,6224.757722685181,118.37086224946844,294.83356482311194,197.77382290533353,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,16
45044.8820976069,45044.8820976069,1286.9966285714286,1544.527,1411.9485,1500.1913,1286.9966285714286,1544.527,1411.9485,1500.1913,15.863392857142857,18.8125,17.125,18.040625,275382.7464285714,296417.25,296417.25,296417.25,275382.7464285714,296417.25,296417.25,296417.25,15.863392857142857,18.8125,17.125,18.040625,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,34.34483981132507,3.173226013660431,2.869643449783325,6.987427532672882,14.552955865859985,0.2026205062866211,0.025898433208465577,0.017539024353027344,0.053125619888305664,0.21030974388122559,0.013559341430664062,16186.361708307873,6498.559935819044,9687.80177248883,81.02792515731979,201.82122162804623,135.38131104153837,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,32
34908.109085101365,34908.109085101365,1368.9454509803923,2045.585,1485.867,1796.1770000000001,1368.9454509803923,2045.585,1485.867,1796.1770000000001,15.063725490196079,18.875,17.0625,17.8125,268567.4620098039,295983.25,295977.25,295983.25,268567.4620098039,295983.25,295977.25,295983.25,15.063725490196079,18.875,17.0625,17.8125,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,25.177831649780273,3.7100301971435545,3.4018975496292114,8.245169866085051,14.80405879020691,0.23406577110290527,0.0334589478969574,0.023192286491394043,0.09448822736740112,0.2232973575592041,0.014561176300048828,22079.66149479165,8864.623574601897,13215.037920189752,62.793629789108046,156.40394407103017,104.91548326581442,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,64
30353.245308387995,30353.245308387995,1379.6929545454548,2634.697,1356.4655,1992.5910000000001,1379.6929545454548,2634.697,1356.4655,1992.5910000000001,14.177556818181818,22.9375,16.6875,18.590625000000003,264073.0369318182,302269.25,302269.25,302269.25,264073.0369318182,302269.25,302269.25,302269.25,14.177556818181818,22.9375,16.6875,18.590625000000003,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,21.499467611312866,4.842500755548477,4.4997111558914185,10.220474290847777,15.990821599960327,0.28884053230285645,0.04685350465774536,0.05079221725463867,0.10949213504791258,0.24126076698303223,0.01651453971862793,25857.291447881245,10381.280319823267,15476.011128057979,54.600220371328135,135.99611683388292,91.22594960534492,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,128
28453.189,28453.189,1387.96043902439,2720.399,1460.118,2648.1910000000003,1387.96043902439,2720.399,1460.118,2648.1910000000003,13.725609756097562,22.9375,15.5625,21.0625,262173.556402439,320423.25,305307.25,305325.25,262173.556402439,320423.25,305307.25,305325.25,13.725609756097562,22.9375,15.5625,21.0625,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,19.715413808822632,5.704661017417908,5.559085845947266,10.735625958442686,17.713833808898926,0.5406744480133057,0.06745598649978637,0.057442665100097656,0.1209296703338623,0.32851552963256836,0.03429150581359863,28197.125629248883,11320.685538952359,16876.440090296528,51.18234883561964,127.48301462418007,85.5153760150995,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,256
28390.4749559145,28390.4749559145,1384.9011951219513,2725.1890000000003,1349.825,2647.67,1384.9011951219513,2725.1890000000003,1349.825,2647.67,13.838414634146341,23.0,15.5625,22.0625,263138.0457317073,315551.25,306047.25,306061.25,263138.0457317073,315551.25,306047.25,306061.25,13.838414634146341,23.0,15.5625,22.0625,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,19.9497013092041,5.731984609603882,5.511873245239258,10.872545301914213,17.933516263961792,0.5413286685943604,0.06730050158500671,0.05768227577209473,0.12170675992965697,0.32924723625183105,0.03521394729614258,27865.981118399937,11187.736424756742,16678.244693643195,51.06953715460643,127.20202765293782,85.32689046216555,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,1,1,1,4,bfloat16,512
62687.239505199905,62687.239505199905,852.8876054421769,1145.425,890.591,967.4509999999999,852.8876054421769,1145.425,890.591,967.4509999999999,14.209608843537415,19.5,15.0,17.275,281091.61819727893,296099.25,296097.25,296099.25,281091.61819727893,296099.25,296097.25,296099.25,14.209608843537415,19.5,15.0,17.275,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,72.61011528968811,3.794497356414795,3.456979751586914,8.37824467420578,17.472392082214355,0.22939515113830566,0.026906588792800903,0.02017796039581299,0.07615852355957031,0.28739476203918457,0.01567244529724121,7656.205995295396,3073.841696980436,4582.36429831496,112.76346422529924,280.8668747320688,188.40499241177395,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,2,1,1,2,bfloat16,32
44924.9735,44924.9735,926.2881134020619,1424.4560000000001,1013.854,1101.7948,926.2881134020619,1424.4560000000001,1013.854,1101.7948,14.112757731958762,22.9375,15.0,17.824999999999992,274551.6649484536,295765.25,295761.25,295765.25,274551.6649484536,295765.25,295761.25,295765.25,14.112757731958762,22.9375,15.0,17.824999999999992,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,47.598615884780884,4.297144134044647,3.8739129304885864,9.656833863258361,18.474103689193726,0.23893141746520996,0.03238020133972168,0.02299356460571289,0.07784399986267089,0.298628568649292,0.01653575897216797,11679.289190796584,4689.043911282368,6990.245279514217,80.81223040088646,201.28397747231082,135.02092863196745,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,2,1,1,2,bfloat16,64
37671.54657697964,37671.54657697964,941.7886624999999,1726.852,1046.7655,1227.8241,941.7886624999999,1726.852,1046.7655,1227.8241,13.2796875,22.875,14.84375,17.75625,267629.1234375,299475.25,299471.25,299475.25,267629.1234375,299475.25,299471.25,299475.25,13.2796875,22.875,14.84375,17.75625,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,39.03324341773987,5.709277287483215,5.105351567268372,12.98716616630554,23.050371646881104,0.3076515197753906,0.044347378492355344,0.03197145462036133,0.09175453186035151,0.316295862197876,0.01919841766357422,14242.167735088748,5717.997800268975,8524.169934819773,67.76457423033548,168.7853801972277,113.22092826223272,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,2,1,1,2,bfloat16,128
33591.7250197165,33591.7250197165,959.7635571428573,1743.9209999999998,973.4675,1544.7543499999995,959.7635571428573,1743.9209999999998,973.4675,1544.7543499999995,12.67142857142857,23.0,13.8125,20.906249999999993,262267.8178571428,304293.25,301333.25,301349.25,262267.8178571428,304293.25,301333.25,301349.25,12.67142857142857,23.0,13.8125,20.906249999999993,332726,332.726,127.5,1244.0,6717,18,223192,223.192,199.5,493.14999999999986,1173,10,34.25371861457825,8.144945249319077,7.505026459693909,17.837725579738613,25.551152229309082,0.4425680637359619,0.06160438585281372,0.04977273941040039,0.1465482592582702,0.44237279891967773,0.022965669631958008,16229.420409946484,6515.847301466719,9713.573108479764,60.425683319691935,150.50595460283748,100.95912258049115,Qwen/Qwen3-8B,vLLM,NVIDIA H100 80GB HBM3,2,1,1,2,bfloat16,256
