Total Avg Power (W),Active Avg Power (W),Total Peak Power (W),Active Peak Power (W),Total Energy (J),Active Energy (J),Total Input Tokens,Avg Input Tokens,Max Input Tokens,Min Input Tokens,Total Output Tokens,Avg Output Tokens,Max Output Tokens,Min Output Tokens,Total Latency (data['s),Avg Latency (s),Max Latency (s),Min Latency (s),Mean TTFT (s),Max TTFT (s),Min TTFT (s),Total Throughput (tok/s) (in+out),Total Throughput (tok/s) (out),Total Throughput (tok/s) (in),Energy/Tok (J/1000tok) (in+out),Energy/Tok (J/1000tok) (out),Energy/Tok (J/1000tok) (in),Model Name,FrameWork,Hardware type,TP Size,PP Size,EP,Batch Size
690.6854759224365,484.161367816092,882.918,882.918,30323.014353767398,21095.0330853827,351722,351.722,5135,45,241712,241.712,1317,16,42.57153272628784,8.504743173360824,34.05529570579529,0.5629222393035889,0.047747507095336914,0.30455899238586426,0.023198366165161133,13939.690727497711,5677.784766502976,8261.905960994736,51.09753461002807,125.45100927453912,86.21301583002314,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,False,
662.4619,662.4619,1594.3200000000002,1594.3200000000002,26659.0855,26659.0855,351722,351.722,5135,45,241712,241.712,1317,16,39.31194186210632,7.47716490650177,29.705098390579224,0.5044219493865967,0.039442662477493284,0.3187685012817383,0.020329713821411133,15095.514795010025,6148.564241569346,8946.95055344068,44.92342113866074,110.29276783941219,75.79589988684245,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,2,1,False,
1035.285101338974,1035.285101338974,3202.0640000000003,3202.0640000000003,39064.94556435013,39064.94556435013,351722,351.722,5135,45,241712,241.712,1317,16,36.06760096549988,6.659712666034698,27.108520030975342,0.45487236976623535,0.03024631929397583,0.4587705135345459,0.020002365112304688,16453.381542277893,6701.637855847616,9751.743686430276,65.82862721777,161.61773335353698,111.0676772119746,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,4,1,False,
229.28275000000005,229.28275000000005,371.464,371.464,22469.71201365209,22469.71201365209,351722,351.722,5135,45,241712,241.712,1317,16,96.80286836624146,19.958599504709245,80.64459109306335,1.1870770454406738,0.13033209848403932,0.7029635906219482,0.05436301231384277,6130.334875561923,2496.9508040351975,3633.384071526725,37.86387705061067,92.96068053572884,63.88486365269187,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A100-PCIE-40GB,1,1,False,
580.758422268206,374.4011951219512,665.587,665.587,95519.95016610788,61434.31863406181,351722,351.722,5135,45,241712,241.712,1317,16,163.4054720401764,2.527940948009491,13.862916946411133,0.16084527969360352,0.017030322790145873,0.14277243614196777,0.010435104370117188,3631.6654062484076,1479.2160689733232,2152.4493372750844,160.96137087883045,395.1808357305714,271.5779796717518,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,False,16
623.1523272092605,416.7562789473684,699.821,699.821,59476.55135249853,39625.77845949173,351722,351.722,5135,45,241712,241.712,1317,16,94.12807393074036,2.808031094789505,15.573315620422363,0.17923307418823242,0.01909488773345947,0.15339279174804688,0.010864496231079102,6304.537798538723,2567.9055132675107,3736.632285271213,100.2243743238482,246.06370950758975,169.1010268123647,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,False,32
270.25886982248517,270.25886982248517,311.959,311.959,45673.75407247209,45673.75407247209,351722,351.722,5135,45,241712,241.712,1317,16,167.87842178344727,33.8979115293026,137.12837958335876,2.014350175857544,0.23492612099647522,1.2522335052490234,0.0980842113494873,3534.9033764773712,1439.8038618196772,2095.099514657694,76.96517906367362,188.9593982610383,129.85754110482736,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A40,1,1,False,
656.3354600029246,449.69993750000003,768.895,768.895,42282.40889661528,28814.296146616463,351722,351.722,5135,45,241712,241.712,1317,16,63.04820370674133,3.591997338056564,20.045777559280396,0.22278451919555664,0.023778777837753295,0.15236544609069824,0.012064695358276367,9412.385525847234,3833.765052598244,5578.620473248989,71.25039835367585,174.92887774134206,120.21542268216169,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,False,64
680.2236112375201,473.4898000000001,856.843,856.843,34287.21187632299,23707.064372954374,351722,351.722,5135,45,241712,241.712,1317,16,49.112988233566284,5.307672430038452,27.377713441848755,0.3297736644744873,0.03217081928253174,0.24201393127441406,0.015778541564941406,12083.035900357156,4921.549445342075,7161.486455015081,57.77763302460423,141.8515087224589,97.48384200113438,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA H100 80GB HBM3,1,1,False,128
240.10683304940378,240.10683304940378,286.421,286.421,140942.72752747155,140942.72752747155,351722,351.722,5135,45,241712,241.712,1317,16,585.6497645378113,9.084540623188019,50.80589532852173,0.5741934776306152,0.07589030861854554,0.7792656421661377,0.03512978553771973,1013.291622286115,412.7244893383618,600.5671329477531,237.503627239881,583.1019044460827,400.7219552017546,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A40,1,1,False,16
251.86393960674158,251.86393960674158,301.768,301.768,89663.57130452132,89663.57130452132,351722,351.722,5135,45,241712,241.712,1317,16,355.0352005958557,10.66511634659767,61.205395221710205,0.644174337387085,0.08871351337432862,0.8519163131713867,0.037516117095947266,1671.479332201538,680.811366293637,990.667965907901,151.09274376682382,370.95208886824537,254.92738954208528,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A40,1,1,False,32
250.48384253578732,250.48384253578732,305.012,305.012,61243.305046166184,61243.305046166184,351722,351.722,5135,45,241712,241.712,1317,16,243.32986664772034,14.030346586227417,80.01522421836853,0.8166372776031494,0.11300720858573914,0.849653959274292,0.0449376106262207,2438.8046078171787,993.3511382305461,1445.4534695866325,103.20154397315655,253.37304331669998,174.12418059196236,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A40,1,1,False,64
268.7678302387268,268.7678302387268,307.89,307.89,50662.741293157815,50662.741293157815,351722,351.722,5135,45,241712,241.712,1317,16,187.31967449188232,20.40603557705879,105.61003684997559,1.2513697147369385,0.15592045760154724,1.287952184677124,0.05937528610229492,3168.028140181917,1290.371663604801,1877.6564765771159,85.37215813916596,209.59961149284197,144.04200275546543,meta-llama/Llama-3.1-8B-Instruct,vLLM,NVIDIA A40,1,1,False,128
1107.7993756404098,1107.7993756404098,3261.4669999999996,3261.4669999999996,82225.72,82225.72,375713,375.713,6170,18,241712,241.712,1317,16,72.80943155288696,13.285182331323623,52.16252684593201,0.6860475540161133,0.07230815434455871,1.1246662139892578,0.03113842010498047,8480.014015100747,3319.789687197687,5160.22432790306,133.1752358586063,340.1805454425101,218.8524751605614,mistralai/Mixtral-8x7B-Instruct-v0.1,vLLM,NVIDIA H100 80GB HBM3,4,1,False,
1247.3004763698982,1247.3004763698982,3446.1849999999995,3446.1849999999995,76361.95502643395,76361.95502643395,375713,375.713,6170,18,241712,241.712,1317,16,59.76123523712158,10.398982337236404,45.14222192764282,0.6924145221710205,0.05356455945968628,0.32526087760925293,0.03127646446228027,10331.530088863981,4044.6285797295063,6286.9015091344745,123.67810669544308,315.92124109036354,203.24544273536966,mistralai/Mixtral-8x7B-Instruct-v0.1,vLLM,NVIDIA H100 80GB HBM3,4,1,True,
