,input_tokens,output_tokens,latency,latency_with_queue,decode_time,queue_time,ttft
0,19,250,10.395358800888062,10.469069480895996,10.349100112915039,0.07371068000793457,0.04285740852355957
1,92,280,11.572875261306763,11.64616870880127,11.526631832122803,0.07329344749450684,0.04285740852355957
2,45,180,7.7021870613098145,7.775394439697266,7.656236171722412,0.07320737838745117,0.04285740852355957
3,68,158,6.894596099853516,6.967738628387451,6.8485987186431885,0.07314252853393555,0.04285740852355957
4,251,84,4.076587915420532,4.149675130844116,4.030750513076782,0.07308721542358398,0.04285740852355957
5,400,88,4.242245674133301,4.315258026123047,4.196321725845337,0.0730123519897461,0.04285740852355957
6,578,364,14.8554048538208,14.928344011306763,14.808920621871948,0.07293915748596191,0.04285740852355957
7,944,44,2.089716672897339,2.1616621017456055,2.00278639793396,0.0719454288482666,0.08414888381958008
8,157,387,15.71406602859497,15.830254316329956,15.670698642730713,0.11618828773498535,0.03976583480834961
9,57,283,11.680683135986328,11.796810865402222,11.63754391670227,0.11612772941589355,0.03976583480834961
10,917,454,18.722055196762085,18.838131427764893,18.678537368774414,0.11607623100280762,0.03976583480834961
11,147,36,1.6385838985443115,1.7545561790466309,1.5967156887054443,0.11597228050231934,0.03976583480834961
12,477,397,16.16485834121704,16.280774354934692,16.08091688156128,0.11591601371765137,0.0802621841430664
13,389,72,3.2595014572143555,3.415945291519165,3.2169442176818848,0.15644383430480957,0.03965926170349121
14,28,44,2.0561513900756836,2.212531566619873,2.013960599899292,0.15638017654418945,0.03965926170349121
15,894,346,14.1355562210083,14.291898012161255,14.092284440994263,0.1563417911529541,0.03965926170349121
16,58,489,20.117208003997803,20.273458242416382,20.073609590530396,0.1562502384185791,0.03965926170349121
17,112,78,3.8508591651916504,4.007071256637573,3.808103561401367,0.15621209144592285,0.03965926170349121
18,810,516,21.20699691772461,21.36316418647766,21.12318706512451,0.15616726875305176,0.08005690574645996
19,2655,286,11.880882024765015,12.077449321746826,11.796762228012085,0.19656729698181152,0.08059191703796387
20,269,235,9.780375957489014,10.017154932022095,9.736893892288208,0.23677897453308105,0.04017019271850586
21,659,522,21.437254190444946,21.673983335494995,21.39331316947937,0.23672914505004883,0.04017019271850586
22,33,523,21.47496223449707,21.711621522903442,21.43104600906372,0.23665928840637207,0.04017019271850586
23,37,256,10.639671564102173,10.876290082931519,10.59601902961731,0.2366185188293457,0.04017019271850586
24,64,537,22.01575779914856,22.252336025238037,21.97186779975891,0.23657822608947754,0.04017019271850586
25,1547,300,12.456127405166626,12.692656517028809,12.371490240097046,0.23652911186218262,0.08114886283874512
26,1365,459,18.973060607910156,19.25048065185547,18.888110399246216,0.2774200439453125,0.08109283447265625
27,64,520,21.35523819923401,21.673567056655884,21.311367988586426,0.318328857421875,0.040067195892333984
28,246,255,10.596248149871826,10.914533853530884,10.552715063095093,0.3182857036590576,0.040067195892333984
29,178,61,2.808818817138672,3.1270530223846436,2.7657930850982666,0.3182342052459717,0.040067195892333984
30,29,870,35.25569128990173,35.57387924194336,35.212502002716064,0.318187952041626,0.040067195892333984
31,607,577,23.580209016799927,23.89835786819458,23.536545991897583,0.3181488513946533,0.040067195892333984
32,209,84,4.114816188812256,4.432889461517334,4.028193235397339,0.3180732727050781,0.08358049392700195
33,32,456,18.81411051750183,19.1735258102417,18.76813769340515,0.35941529273986816,0.04218912124633789
34,1192,532,21.81567621231079,22.1750545501709,21.76980185508728,0.3593783378601074,0.04218912124633789
35,70,185,7.915065050125122,8.274333953857422,7.869622230529785,0.3592689037322998,0.04218912124633789
36,974,250,10.4385826587677,10.797810792922974,10.350175380706787,0.35922813415527344,0.0849297046661377
37,753,129,5.806773662567139,6.209950923919678,5.762722730636597,0.40317726135253906,0.04088783264160156
38,678,108,5.047946453094482,5.4510321617126465,5.004022598266602,0.40308570861816406,0.04088783264160156
39,71,68,3.099527597427368,3.502535104751587,3.0556797981262207,0.40300750732421875,0.04088783264160156
40,40,489,20.105740308761597,20.508706092834473,20.060951948165894,0.402965784072876,0.04088783264160156
41,66,243,10.13694453239441,10.539869546890259,10.050333499908447,0.4029250144958496,0.08328032493591309
42,542,483,19.879230737686157,20.324368476867676,19.83442211151123,0.44513773918151855,0.040828704833984375
43,51,34,1.6101863384246826,2.0552399158477783,1.5669381618499756,0.4450535774230957,0.040828704833984375
44,38,434,17.811187744140625,18.256197690963745,17.76656222343445,0.4450099468231201,0.040828704833984375
45,51,361,14.720667839050293,15.165639400482178,14.676213026046753,0.44497156143188477,0.040828704833984375
46,25,61,2.7875659465789795,3.2324979305267334,2.7438454627990723,0.4449319839477539,0.040828704833984375
47,28,30,1.406902551651001,1.851794719696045,1.3637855052947998,0.44489216804504395,0.040828704833984375
48,1004,77,3.77486252784729,4.219720125198364,3.7309772968292236,0.4448575973510742,0.040828704833984375
49,28,20,0.9157519340515137,1.3605101108551025,0.8729476928710938,0.44475817680358887,0.040828704833984375
50,27,240,9.980596780776978,10.42531704902649,9.936508178710938,0.4447202682495117,0.040828704833984375
51,825,278,11.55985164642334,12.004536151885986,11.473078727722168,0.4446845054626465,0.08328866958618164
52,543,598,24.3848934173584,24.872055053710938,24.340551614761353,0.48716163635253906,0.04071974754333496
53,560,76,3.7323217391967773,4.219415903091431,3.6885173320770264,0.4870941638946533,0.04071974754333496
54,1134,538,22.052620887756348,22.539646863937378,21.96490216255188,0.4870259761810303,0.08406376838684082
55,66,100,4.732912540435791,5.262022018432617,4.687936305999756,0.5291094779968262,0.04187488555908203
56,26,28,1.3221700191497803,1.851227045059204,1.2779815196990967,0.5290570259094238,0.04187488555908203
57,21,99,4.6857850551605225,5.214795827865601,4.640792608261108,0.5290107727050781,0.04187488555908203
58,50,488,20.052994966506958,20.58196187019348,20.007227420806885,0.5289669036865234,0.04187488555908203
59,32,106,4.961571931838989,5.4904944896698,4.916720151901245,0.5289225578308105,0.04187488555908203
60,63,564,23.062718152999878,23.59159803390503,23.017259120941162,0.5288798809051514,0.04187488555908203
61,888,294,12.200323820114136,12.72916054725647,12.11022663116455,0.528836727142334,0.0865931510925293
