,input_tokens,output_tokens,latency,latency_with_queue,decode_time,queue_time,ttft
0,20,238,23.867968320846558,23.967751502990723,23.710246562957764,0.09978318214416504,0.15237927436828613
1,88,270,27.541261196136475,27.640438079833984,27.383436918258667,0.09917688369750977,0.15237927436828613
2,43,166,17.755938291549683,17.855011463165283,17.598591566085815,0.09907317161560059,0.15237927436828613
3,68,151,16.35369086265564,16.452670574188232,16.196433544158936,0.09897971153259277,0.15237927436828613
4,242,77,10.5101318359375,10.609047174453735,10.353113174438477,0.09891533851623535,0.15237927436828613
5,306,81,10.77217411994934,10.870996713638306,10.615201711654663,0.09882259368896484,0.15237927436828613
6,456,244,24.428768396377563,24.527487993240356,24.27072501182556,0.09871959686279297,0.15237927436828613
7,676,27,4.639336824417114,4.737945795059204,4.483981609344482,0.09860897064208984,0.15237927436828613
8,145,358,34.9284827709198,35.026970624923706,34.77043271064758,0.09848785400390625,0.15237927436828613
9,51,256,26.44851326942444,26.54693102836609,26.139622688293457,0.09841775894165039,0.303607702255249
10,856,391,38.06581711769104,38.31992268562317,37.91218447685242,0.2541055679321289,0.147857666015625
11,141,31,5.364878177642822,5.618847131729126,5.213814735412598,0.2539689540863037,0.147857666015625
12,325,271,27.523104429244995,27.776994705200195,27.369786500930786,0.2538902759552002,0.147857666015625
13,361,66,9.443722009658813,9.697521686553955,9.291110515594482,0.2537996768951416,0.147857666015625
14,28,42,7.365096569061279,7.618794918060303,7.212728023529053,0.25369834899902344,0.147857666015625
15,811,324,31.973841190338135,32.22748279571533,31.670089721679688,0.25364160537719727,0.2980935573577881
16,54,415,40.41541385650635,40.81905221939087,40.26149225234985,0.4036383628845215,0.14797282218933105
17,91,66,9.408214569091797,9.811786413192749,9.25564455986023,0.40357184410095215,0.14797282218933105
18,768,483,47.06136989593506,47.46451425552368,46.90770626068115,0.40314435958862305,0.14797282218933105
19,2407,260,26.70615029335022,27.109171152114868,26.40074872970581,0.40302085876464844,0.299710750579834
20,254,219,22.011488676071167,22.563189268112183,21.705957174301147,0.5517005920410156,0.300156831741333
21,525,444,43.023638010025024,43.72722029685974,42.86954665184021,0.7035822868347168,0.14819073677062988
22,25,421,41.00491714477539,41.7084014415741,40.85108923912048,0.703484296798706,0.14819073677062988
23,38,239,23.74130082130432,24.444730043411255,23.587846517562866,0.7034292221069336,0.14819073677062988
24,62,465,44.996070861816406,45.69943380355835,44.84199929237366,0.7033629417419434,0.14819073677062988
25,1396,276,27.713071584701538,28.416372537612915,27.409021854400635,0.703300952911377,0.2985663414001465
26,1294,445,43.12116312980652,43.97390961647034,42.96651530265808,0.8527464866638184,0.1489565372467041
27,45,321,31.37324571609497,32.22582674026489,31.218597173690796,0.8525810241699219,0.1489565372467041
28,182,194,19.63592529296875,20.48843550682068,19.48178195953369,0.8525102138519287,0.1489565372467041
29,128,40,7.045921564102173,7.898355722427368,6.8925604820251465,0.8524341583251953,0.1489565372467041
30,30,732,70.66230368614197,71.51467108726501,70.50758862495422,0.8523674011230469,0.1489565372467041
31,543,516,50.33954882621765,51.19185280799866,50.02965426445007,0.8523039817810059,0.2998976707458496
32,190,73,9.732181549072266,10.734971046447754,9.57828426361084,1.0027894973754883,0.14929866790771484
33,30,437,42.179826736450195,43.18254089355469,42.024874210357666,1.0027141571044922,0.14929866790771484
34,1095,471,45.35449194908142,46.35714530944824,45.199288845062256,1.0026533603668213,0.14929866790771484
35,60,171,17.66742968559265,18.66992950439453,17.513182163238525,1.0024998188018799,0.14929866790771484
36,948,239,24.109886169433594,25.11232566833496,23.42282223701477,1.0024394989013672,0.6815028190612793
37,686,117,13.245539903640747,14.39882230758667,12.710114240646362,1.1532824039459229,0.5305235385894775
38,570,104,12.301894903182983,13.455057859420776,11.766620635986328,1.153162956237793,0.5305235385894775
39,66,63,8.86414384841919,10.017200946807861,8.329038619995117,1.1530570983886719,0.5305235385894775
40,34,408,39.46658158302307,40.619576930999756,38.930232524871826,1.1529953479766846,0.5305235385894775
41,68,224,22.198164463043213,23.35110116004944,21.662270545959473,1.1529366970062256,0.5305235385894775
42,409,364,35.102152585983276,36.25502967834473,34.41415095329285,1.1528770923614502,0.6821451187133789
43,46,30,4.994336843490601,6.679806470870972,4.841184139251709,1.685469627380371,0.14946389198303223
44,35,352,33.56256985664368,35.24797010421753,33.407360553741455,1.6854002475738525,0.14946389198303223
45,48,326,31.202425241470337,32.88775706291199,31.047380208969116,1.6853318214416504,0.14946389198303223
46,26,58,7.854843378067017,9.540108919143677,7.700852870941162,1.6852655410766602,0.14946389198303223
47,27,23,3.757446527481079,5.442656517028809,3.6048314571380615,1.6852099895477295,0.14946389198303223
48,940,64,8.465863466262817,10.1510169506073,8.311788082122803,1.6851534843444824,0.14946389198303223
49,27,17,2.715909719467163,4.4009315967559814,2.5635645389556885,1.6850218772888184,0.14946389198303223
50,26,215,20.875690460205078,22.560653924942017,20.72081470489502,1.6849634647369385,0.14946389198303223
51,783,257,25.649564743041992,27.334351062774658,25.340583086013794,1.684786319732666,0.30360937118530273
52,402,431,41.076115131378174,42.912588596343994,40.91870641708374,1.8364734649658203,0.15179109573364258
53,477,67,8.680361032485962,10.516737222671509,8.523946046829224,1.8363761901855469,0.15179109573364258
54,750,359,34.059016942977905,35.89529371261597,33.901437282562256,1.8362767696380615,0.15179109573364258
55,64,91,10.839897155761719,12.67604660987854,10.529422283172607,1.8361494541168213,0.30580902099609375
56,25,21,3.4515092372894287,5.441728353500366,3.29666805267334,1.9902191162109375,0.15166258811950684
57,19,92,10.773669719696045,12.763827800750732,10.617299795150757,1.9901580810546875,0.15166258811950684
58,49,438,41.73384976387024,43.723939418792725,41.57624077796936,1.9900896549224854,0.15166258811950684
59,32,103,11.62984299659729,13.619874000549316,11.473505020141602,1.9900310039520264,0.15166258811950684
60,51,498,47.591819047927856,49.58178973197937,47.434425592422485,1.9899706840515137,0.15166258811950684
61,880,279,27.073009490966797,29.06292152404785,26.915796995162964,1.9899120330810547,0.15166258811950684
62,87,524,50.22946739196777,52.21923565864563,50.07213735580444,1.9897682666778564,0.15166258811950684
63,26,106,11.821811199188232,13.811513423919678,11.665520906448364,1.9897022247314453,0.15166258811950684
64,99,57,7.7029030323028564,9.692551612854004,7.546451807022095,1.9896485805511475,0.15166258811950684
65,47,431,41.0410099029541,43.03058910369873,40.88342905044556,1.989579200744629,0.15166258811950684
66,329,295,28.592027187347412,30.581546545028687,28.434879064559937,1.9895193576812744,0.15166258811950684
67,193,170,16.967596769332886,18.95703411102295,16.810161352157593,1.9894373416900635,0.15166258811950684
68,237,47,6.916714668273926,8.906081199645996,6.605647563934326,1.9893665313720703,0.30669093132019043
69,621,382,36.25448179244995,38.3980770111084,36.09629774093628,2.1435952186584473,0.15238261222839355
70,150,41,6.3747217655181885,8.518198251724243,6.217991352081299,2.1434764862060547,0.15238261222839355
71,615,459,43.669442653656006,45.81284236907959,43.51135563850403,2.143399715423584,0.15238261222839355
72,136,205,19.606849908828735,21.750138521194458,19.449323892593384,2.1432886123657227,0.15238261222839355
73,183,234,22.54713535308838,24.690356016159058,22.389301300048828,2.1432206630706787,0.15238261222839355
74,174,422,40.303351163864136,42.4464955329895,39.98879885673523,2.143144369125366,0.30881786346435547
75,101,53,7.1719887256622314,9.470171451568604,7.013808727264404,2.298182725906372,0.15370559692382812
76,1308,410,39.010618448257446,41.30872440338135,38.85097336769104,2.2981059551239014,0.15370559692382812
77,40,42,6.352717161178589,8.650620698928833,6.194664478302002,2.297903537750244,0.15370559692382812
78,19,146,14.699592351913452,16.997440576553345,14.541025161743164,2.2978482246398926,0.15370559692382812
79,257,221,21.22305417060852,23.520846843719482,21.06397819519043,2.297792673110962,0.15370559692382812
80,385,132,13.638587474822998,15.936296701431274,13.324570417404175,2.2977092266082764,0.30908989906311035
81,366,62,7.9930033683776855,10.447177171707153,7.835811138153076,2.4541738033294678,0.15252423286437988
82,701,136,13.81889271736145,16.272969961166382,13.661521911621094,2.4540772438049316,0.15252423286437988
83,313,360,33.91283369064331,36.36677932739258,33.75432848930359,2.4539456367492676,0.15252423286437988
84,105,86,10.080756664276123,12.534504652023315,9.923513650894165,2.4537479877471924,0.15252423286437988
85,573,223,21.41098165512085,23.864657640457153,21.09550952911377,2.4536759853363037,0.3100252151489258
86,538,156,15.57995057106018,18.18908143043518,15.420518636703491,2.609130859375,0.15445923805236816
87,29,56,7.403973579406738,10.012987613677979,7.2449047565460205,2.6090140342712402,0.15445923805236816
88,41,55,7.337224006652832,9.946182012557983,7.178210020065308,2.6089580059051514,0.15445923805236816
89,2341,518,49.524550437927246,52.133450508117676,49.20485734939575,2.6089000701904297,0.3140561580657959
90,75,115,12.073286771774292,14.839343309402466,11.911915063858032,2.766056537628174,0.15661334991455078
91,117,53,7.038515090942383,9.80450701713562,6.8772759437561035,2.7659919261932373,0.15661334991455078
92,420,318,29.947362184524536,32.71328663825989,29.7852303981781,2.7659244537353516,0.15661334991455078
93,354,465,43.89870643615723,46.66454339027405,43.57833766937256,2.7658369541168213,0.3144068717956543
94,792,282,26.96613621711731,29.89188861846924,26.805907249450684,2.9257524013519287,0.1544032096862793
95,32,40,5.850860595703125,8.776482105255127,5.692094564437866,2.925621509552002,0.1544032096862793
96,19,155,15.331493854522705,18.257055282592773,15.17204737663269,2.9255614280700684,0.1544032096862793
97,55,169,16.450899362564087,19.376404523849487,16.291550636291504,2.9255051612854004,0.1544032096862793
98,36,220,20.847123622894287,23.772565364837646,20.687417030334473,2.9254417419433594,0.1544032096862793
99,52,272,25.992786169052124,28.918174028396606,25.83284640312195,2.9253878593444824,0.1544032096862793
100,100,29,4.966726303100586,7.89205527305603,4.807890892028809,2.9253289699554443,0.1544032096862793
101,57,75,8.808722972869873,11.733986377716064,8.649763107299805,2.9252634048461914,0.1544032096862793
102,37,490,46.48802661895752,49.41322064399719,46.32803010940552,2.925194025039673,0.1544032096862793
103,47,61,7.67455792427063,10.59969449043274,7.515486717224121,2.9251365661621094,0.1544032096862793
104,33,163,15.889199495315552,18.814282178878784,15.729880094528198,2.9250826835632324,0.1544032096862793
105,40,470,44.6054310798645,47.530458211898804,44.44537973403931,2.9250271320343018,0.1544032096862793
106,1024,241,23.683753490447998,26.608717679977417,23.364232063293457,2.924964189529419,0.314100980758667
107,90,274,26.225693702697754,29.308417558670044,26.064025402069092,3.08272385597229,0.1561751365661621
108,2016,226,21.435271978378296,24.517932653427124,21.112327098846436,3.082660675048828,0.3172488212585449
109,290,360,33.512863874435425,36.75501775741577,33.34966993331909,3.2421538829803467,0.15750408172607422
110,88,328,30.640329360961914,33.88239765167236,30.477200746536255,3.242068290710449,0.15750408172607422
111,493,106,11.150254726409912,14.39226222038269,10.987818479537964,3.2420074939727783,0.15750408172607422
112,23,227,21.44480872154236,24.686720848083496,21.281818866729736,3.2419121265411377,0.15750408172607422
113,167,103,10.8917555809021,14.13358449935913,10.72948670387268,3.2418289184570312,0.15750408172607422
114,1051,63,7.686525583267212,10.928283929824829,7.363383531570435,3.241758346557617,0.31844377517700195
115,217,180,17.0778067111969,20.48067331314087,16.915401220321655,3.4028666019439697,0.15718674659729004
116,463,399,37.580437660217285,40.98312020301819,37.41749715805054,3.4026825428009033,0.15718674659729004
