,input_tokens,output_tokens,latency,latency_with_queue,decode_time,queue_time,ttft
0,46,232,4.436113595962524,4.53939414024353,4.376948118209839,0.10328054428100586,0.058741092681884766
1,111,238,4.572700262069702,4.67538595199585,4.513571739196777,0.10268568992614746,0.058741092681884766
2,68,164,3.183346748352051,3.2859275341033936,3.1242198944091797,0.10258078575134277,0.058741092681884766
3,92,133,2.611379623413086,2.713890552520752,2.552245855331421,0.10251092910766602,0.058741092681884766
4,262,78,1.5846190452575684,1.687060832977295,1.525493860244751,0.10244178771972656,0.058741092681884766
5,353,77,1.564366340637207,1.6667158603668213,1.5052356719970703,0.10234951972961426,0.058741092681884766
6,517,299,5.724312782287598,5.826566696166992,5.6651365756988525,0.10225391387939453,0.058741092681884766
7,818,31,0.6864235401153564,0.7885715961456299,0.5706815719604492,0.10214805603027344,0.11527776718139648
8,167,354,6.698757886886597,6.861366271972656,6.64367938041687,0.16260838508605957,0.05466055870056152
9,74,243,4.644125938415527,4.806633472442627,4.5890655517578125,0.1625075340270996,0.05466055870056152
10,848,375,7.104605674743652,7.267034292221069,7.049463987350464,0.162428617477417,0.05466055870056152
11,164,32,0.6464564800262451,0.808748722076416,0.5914261341094971,0.1622922420501709,0.05466055870056152
12,412,295,5.606437921524048,5.768655300140381,5.551348924636841,0.162217378616333,0.05466055870056152
13,373,64,1.2616114616394043,1.4237332344055176,1.1701419353485107,0.16212177276611328,0.09110212326049805
14,55,43,0.8131868839263916,1.0306437015533447,0.7771685123443604,0.21745681762695312,0.03567218780517578
15,741,290,5.475799560546875,5.6931843757629395,5.4396538734436035,0.21738481521606445,0.03567218780517578
16,78,449,8.435118436813354,9.22333312034607,8.414918899536133,0.7882146835327148,0.01970982551574707
17,122,67,1.2842376232147217,2.092850685119629,1.2645049095153809,0.8086130619049072,0.019376516342163086
18,747,456,8.5630202293396,9.593946695327759,8.538433313369751,1.0309264659881592,0.024103641510009766
19,2287,256,4.845904588699341,6.2698986530303955,4.768579006195068,1.4239940643310547,0.07679319381713867
20,274,210,3.9328701496124268,5.5985190868377686,3.913151264190674,1.6656489372253418,0.01929450035095215
21,526,402,7.5136871337890625,9.199368715286255,7.491106033325195,1.6856815814971924,0.022089481353759766
22,53,459,8.579133749008179,10.671922445297241,8.559007406234741,2.0927886962890625,0.019707679748535156
23,64,232,4.349501848220825,7.061979293823242,4.329366683959961,2.712477445602417,0.019736289978027344
24,88,470,8.815063238143921,12.099427461624146,8.795230865478516,3.2843642234802246,0.019412517547607422
25,1445,275,5.16769003868103,9.705113410949707,5.123471260070801,4.537423372268677,0.043740272521972656
26,1294,425,7.96059513092041,12.634286165237427,7.9207799434661865,4.673691034317017,0.03931927680969238
27,72,287,5.346851825714111,10.152237176895142,5.326794385910034,4.80538535118103,0.019647598266601562
28,226,212,3.955472946166992,9.553828001022339,3.9354307651519775,5.598355054855347,0.019606828689575195
29,168,47,0.872025728225708,6.564218759536743,0.8523528575897217,5.692193031311035,0.01928400993347168
30,54,778,14.485687017440796,20.253127336502075,14.465688705444336,5.767440319061279,0.019548654556274414
31,557,499,9.306694269180298,15.131247282028198,9.283947706222534,5.8245530128479,0.022287607192993164
32,209,73,1.3778917789459229,7.64708399772644,1.3579881191253662,6.269192218780518,0.019494295120239258
33,56,421,7.859188556671143,14.42362642288208,7.839334726333618,6.5644378662109375,0.019426822662353516
34,1020,423,7.902803421020508,14.762269973754883,7.866392135620117,6.859466552734375,0.03592419624328613
35,86,158,2.9413483142852783,10.002640962600708,2.9214890003204346,7.06129264831543,0.01947927474975586
36,939,226,4.223739385604858,11.488816976547241,4.190429449081421,7.265077590942383,0.0328521728515625
37,665,113,2.0969431400299072,9.744013547897339,2.0729150772094727,7.647070407867432,0.02360081672668457
38,525,103,1.9288311004638672,11.12720537185669,1.9063386917114258,9.198374271392822,0.022075653076171875
39,93,62,1.153557300567627,10.374938488006592,1.1338870525360107,9.221381187438965,0.019297361373901367
40,60,411,7.655756950378418,17.208964109420776,7.635883331298828,9.553207159042358,0.019459962844848633
41,93,224,4.185791730880737,13.77782678604126,4.166174650192261,9.592035055160522,0.019213438034057617
42,415,344,6.407276153564453,16.111254930496216,6.38619589805603,9.703978776931763,0.020654916763305664
