,input_tokens,output_tokens,latency,latency_with_queue,decode_time,queue_time,ttft
0,19,250,13.27984619140625,13.386711359024048,13.16898226737976,0.10686516761779785,0.10801053047180176
1,92,280,14.662968873977661,14.769240140914917,14.552021980285645,0.10627126693725586,0.10801053047180176
2,45,180,10.11372709274292,10.219905614852905,10.00313138961792,0.10617852210998535,0.10801053047180176
3,68,158,9.235878705978394,9.341987371444702,9.125286340713501,0.1061086654663086,0.10801053047180176
4,251,84,5.229125738143921,5.335166692733765,5.118720293045044,0.10604095458984375,0.10801053047180176
5,400,88,5.400787353515625,5.506741762161255,5.290363073348999,0.10595440864562988,0.10801053047180176
6,578,364,18.458148956298828,18.564010858535767,18.347219467163086,0.10586190223693848,0.10801053047180176
7,944,44,3.499199390411377,3.6044442653656006,3.283116340637207,0.10524487495422363,0.2137608528137207
8,157,387,19.35785460472107,19.573057889938354,19.25126600265503,0.21520328521728516,0.10365653038024902
9,57,283,14.727542638778687,14.942673921585083,14.62106704711914,0.21513128280639648,0.10365653038024902
10,917,454,22.305073261260986,22.520137071609497,22.19833993911743,0.21506381034851074,0.10365653038024902
11,147,36,3.062800884246826,3.2777304649353027,2.956941843032837,0.21492958068847656,0.10365653038024902
12,477,397,19.814898014068604,20.02975058555603,19.60308051109314,0.21485257148742676,0.20884323120117188
13,389,72,4.58051609992981,4.900238037109375,4.474205732345581,0.31972193717956543,0.10387778282165527
14,28,44,3.3639307022094727,3.683544635772705,3.257706880569458,0.3196139335632324,0.10387778282165527
15,894,346,17.60127091407776,17.92081046104431,17.494327306747437,0.31953954696655273,0.10387778282165527
16,58,489,23.827264547348022,24.146676301956177,23.720293760299683,0.3194117546081543,0.10387778282165527
17,112,78,4.8418519496917725,5.161192417144775,4.73560905456543,0.31934046745300293,0.10387778282165527
18,810,516,25.10322618484497,25.422497272491455,24.89069890975952,0.3192710876464844,0.20949053764343262
19,2655,286,14.776664018630981,15.20097804069519,14.560806512832642,0.424314022064209,0.21282744407653809
20,269,235,12.359559774398804,12.8893461227417,12.2496919631958,0.5297863483428955,0.10709500312805176
21,659,522,25.20248770713806,25.732186794281006,25.092302322387695,0.5296990871429443,0.10709500312805176
22,33,523,25.24519157409668,25.774784326553345,25.135172843933105,0.529592752456665,0.10709500312805176
23,37,256,13.272631168365479,13.802157878875732,13.16260290145874,0.5295267105102539,0.10709500312805176
